PDSFD_1000_02_FDJ_20CGB01-MW,PDSFD_1000_02_YCFJ_20HLA20CP101,PDSFD_1000_02_YCFJ_20HLA20CT301,PDSFD_1000_02_YCFJ_20HLB20CT312,PDSFD_1000_02_YCFJ_20HLB20CT315,PDSFD_1000_02_YCFJ_20HLB20CT318,PDSFD_1000_02_YCFJ_20HLB20CY101A-A,PDSFD_1000_02_YCFJ_20HLB20CY101AB-A,PDSFD_1000_02_YCFJ_20HLB20ZZ101-ZT,PDSFD_1000_02_YCFJ_20HLV21CT301,PDSFD_1000_02_YCFJ_20HLV21CT302
946.0444,13.092419999999999,3.933536,54.89325,54.38475,56.67361,1.425476,1.298828,78.18755999999999,32.71976,35.6254
949.1486,13.04092,3.933536,54.89325,54.38475,56.67361,1.455993,1.208801,78.23334,32.71976,35.6254
956.2133,13.000869999999999,3.933536,54.89325,54.38475,56.67361,1.428527,1.259155,78.41644000000001,32.71976,35.6254
963.278,13.143920000000001,3.933536,54.89325,54.38475,56.67361,1.495667,1.237792,78.34777,32.59349,35.6254
967.5596,13.13248,3.933536,54.89325,54.38475,56.67361,1.451416,1.311035,78.69873,32.59349,35.6254
967.9877,13.0867,4.058665,54.89325,54.38475,56.67361,1.427002,1.221008,78.6377,32.59349,35.6254
968.9512,13.0867,3.933536,54.89325,54.38475,56.67361,1.4590450000000001,1.303405,78.70635,32.71976,35.6254
973.6609,13.17635,3.933536,54.89325,54.38475,56.67361,1.434631,1.324768,78.69873,32.59349,35.6254
976.7651,13.14964,3.933536,54.89325,54.38475,56.67361,1.4331049999999999,1.21643,78.2486,32.59349,35.6254
975.9088,13.04665,3.933536,54.89325,54.38475,56.67361,1.411743,1.237792,78.39355,32.59349,35.6254
973.6609,13.09052,3.933536,54.89325,54.38475,56.67361,1.404113,1.236267,78.36304,32.59349,35.6254
974.6243,13.115310000000001,3.933536,54.89325,54.25764,56.67361,1.439209,1.30188,77.74506,32.59349,35.6254
973.6609,13.11912,4.058665,54.766119999999994,54.25764,56.67361,1.428527,1.205749,78.45458,32.59349,35.6254
975.0525,13.145829999999998,4.058665,54.766119999999994,54.25764,56.67361,1.4315790000000002,1.211853,78.49273000000001,32.59349,35.6254
975.3736,13.145829999999998,4.1838,54.766119999999994,54.25764,56.67361,1.4300540000000002,1.29425,77.71453000000001,32.59349,35.6254
970.2356,13.071439999999999,4.058665,54.638999999999996,54.25764,56.67361,1.4468379999999998,1.152344,77.73743,32.59349,35.6254
966.2751,13.115310000000001,4.058665,54.638999999999996,54.38475,56.67361,1.436157,1.259155,78.37066,32.59349,35.6254
960.6019,13.10577,4.058665,54.638999999999996,54.25764,56.67361,1.422424,1.22406,77.59246999999999,32.59349,35.6254
963.7061,13.077160000000001,4.058665,54.638999999999996,54.38475,56.67361,1.439209,1.275939,78.27148000000001,32.59349,35.6254
967.9877,13.082889999999999,4.058665,54.638999999999996,54.38475,56.67361,1.394958,1.246948,77.57721,32.59349,35.6254
967.9877,13.10005,4.058665,54.638999999999996,54.25764,56.67361,1.4300540000000002,1.259155,78.25623,32.59349,35.75179
971.0919,13.04092,4.058665,54.638999999999996,54.38475,56.67361,1.4300540000000002,1.257629,78.17992,32.59349,35.75179
973.7679,13.1115,4.058665,54.638999999999996,54.38475,56.67361,1.4468379999999998,1.245422,78.23334,32.59349,35.878190000000004
977.1932,13.082889999999999,4.058665,54.638999999999996,54.38475,56.67361,1.44226,1.225586,78.19518000000001,32.59349,35.75179
