PDSFD_1000_02_FDJ_20CGB01-MW,PDSFD_1000_02_GJ_02_DT2g,PDSFD_1000_02_GJ_02_DT3g,PDSFD_1000_02_GJ_02_Tdc1gs,PDSFD_1000_02_GJ_02_Tdc1gx,PDSFD_1000_02_GJ_02_Tdc2gs,PDSFD_1000_02_GJ_02_Tdc2gx,PDSFD_1000_02_GJ_02_Tdc3gs,PDSFD_1000_02_GJ_02_Tdc3gx,PDSFD_1000_02_GJ_20LAB50CT611,PDSFD_1000_02_GJ_20LAB60CT601,PDSFD_1000_02_GJ_20LCH21ZZ101-ZT,PDSFD_1000_02_GJ_20LCH31ZZ101-ZT,PDSFD_1000_02_GSB_20LAB40CT601,PDSFD_1000_02_GS_20LAB70CT601
963.0639,54.60329,33.10691,-3.718191,5.501441,-0.3572951,4.512725,-0.8150383,8.132144,206.5834,261.2716,79.31519,81.6618,173.4547,293.4776
961.8865,54.68566,33.12854,-3.839637,5.344192,-0.3354577,4.562688,-0.7160626,8.088656,206.7979,261.5266,79.08783,81.48902,173.5409,293.7733
962.5287,54.60661,33.20654,-3.85072,5.408009,-0.3544418,4.614515,-0.7751439,8.147799,207.0338,261.4416,79.01,82.27906,173.7779,293.7733
962.1006,54.5309,33.2302,-3.886326,5.492071,-0.3956378,4.664157,-0.8831521,8.175756,207.184,261.6754,78.97338,82.06136,173.9287,294.0056
962.1006,54.46096,33.16,-3.964288,5.611103,-0.4751996,4.710025,-1.07567,8.149847,207.2054,261.7391,79.43267,81.89518,174.0795,294.069
962.1006,54.36024,33.10358,-4.023844,5.749637,-0.5794308,4.718384,-1.239896,8.108437,207.4842,261.7391,79.56696,81.10998,174.381,294.069
961.2443,54.13642,32.89209,-4.009783,5.966174,-0.6303064,4.576706,-1.293688,8.00502,207.4842,261.5904,79.76837,80.00587,174.6826,293.8789
960.8161,53.98561,32.6224,-3.973962,6.125347,-0.5567042,4.477548,-1.334712,7.945491,207.3555,261.4416,79.9408,81.69911,174.8334,293.7733
961.0836,54.12682,32.48025,-3.860927,6.05506,-0.5933222,4.548469,-1.22618,8.061511,207.3341,261.4416,79.72412,80.87486,174.9842,293.6465
961.6724,54.24449,32.35585,-3.788141,5.996488,-0.6226661,4.60757,-1.137573,8.173063,207.3341,261.4416,79.04205,81.09458,174.9842,293.7733
960.3879,54.10328,32.42678,-3.884648,6.066775,-0.5719928,4.536649,-1.268124,8.235485,207.3984,261.5053,79.06342,81.17741,174.9842,293.7733
961.9935,53.96207,32.4977,-3.981155,6.137062,-0.5213196,4.465728,-1.398674,8.297907,207.3341,261.4416,78.88641,81.49207,174.9842,293.7733
962.5823,54.0324,32.50006,-3.945274,6.064371,-0.525901,4.530563,-1.152465,8.366632,207.4842,261.5479,78.78876,81.83286,174.9842,293.7733
962.7963,54.10263,32.50006,-3.910515,5.994145,-0.5312094,4.596603,-1.235569,8.432129,207.4842,261.5904,78.94897,82.327,174.9842,293.8684
962.5822,54.03234,32.50006,-3.983795,6.064432,-0.514128,4.596603,-1.251009,8.432129,207.4842,261.5904,78.74908,81.51233,174.9842,293.7733
959.9597,53.96205,32.50006,-4.057075,6.134718,-0.4970465,4.596603,-1.266448,8.432129,207.4842,261.5904,79.34112,82.1937,174.9842,293.7733
957.7654,54.02356,32.36739,-4.065262,6.139404,-0.6085452,4.662796,-1.300284,8.430243,207.4842,261.5904,79.71802,81.01053,174.9842,293.7733
958.6217,54.09448,32.22523,-4.0688,6.139404,-0.7292281,4.733717,-1.335434,8.416092,207.3341,261.4416,79.59136,80.95287,175.0488,293.6254
958.4077,54.04355,32.26398,-3.999845,6.145071,-0.6695418,4.632193,-1.323796,8.478304,207.3341,261.1441,80.01099,80.308,175.1134,293.4776
957.926,53.96526,32.34333,-3.914616,6.152009,-0.5693644,4.491957,-1.301654,8.557657,207.2269,261.2928,79.63256,81.17838,174.9842,293.4776
956.8556,53.95937,32.35023,-4.000786,6.220212,-0.582704,4.548519,-1.263504,8.572739,207.184,261.2503,79.74701,80.63139,174.9411,293.4776
954.7148,53.96004,32.35054,-4.102538,6.293984,-0.6063634,4.622972,-1.223899,8.581977,207.184,261.1441,79.23126,80.63766,174.898,293.467
958.4077,54.09289,32.41787,-3.807698,6.108088,-0.492281,4.630417,-1.519303,8.591223,207.184,261.1441,78.97797,80.82027,174.8334,293.3931
966.7032,54.24042,32.49263,-3.398754,5.89334,-0.3628941,4.630417,-1.001724,8.600469,207.184,261.2928,79.26482,82.17965,174.8334,293.6255
967.9878,54.25643,32.56683,-3.679141,5.835895,-0.3564407,4.615606,-0.9778233,8.5355,207.3341,261.7391,79.28771,83.24632,174.8334,293.9132
967.5596,54.25507,32.64095,-3.855586,5.721572,-0.3662238,4.598839,-0.9950304,8.46073,207.4842,261.7391,79.80347,83.17854,174.9842,294.0901
967.1315,54.2543,32.58576,-3.948686,5.758907,-0.4593669,4.646598,-1.083831,8.377958,207.4842,261.7816,79.953,83.13377,174.9842,294.069
968.6836,54.25362,32.51068,-4.028963,5.819574,-0.5653347,4.704284,-1.183647,8.293957,207.6344,261.8879,80.2536,81.70326,175.0919,294.2028
970.8778,54.18973,32.56321,-4.020407,5.8863,-0.5110659,4.649144,-1.220986,8.337517,207.6344,261.8879,80.19257,81.3596,175.1349,294.3436
970.6638,54.11468,32.63826,-3.996174,5.954095,-0.4285201,4.574093,-1.247299,8.403587,207.7845,261.8879,79.98657,80.54844,175.1995,294.3647
969.8075,54.10342,32.58598,-3.968633,6.021413,-0.4558995,4.618995,-1.19452,8.405652,207.7845,262.0366,79.6814,78.94148,175.2857,294.3647
968.6835,54.10342,32.51122,-3.940508,6.088648,-0.5026776,4.685064,-1.127783,8.39642,207.7845,261.8879,78.99627,81.60422,175.2857,294.2169
968.6836,54.10342,32.49876,-3.860238,6.099854,-0.5007236,4.641018,-1.220314,8.394882,207.6558,261.8879,78.94745,81.39867,175.2857,294.2169
968.4694,54.10342,32.49876,-3.769538,6.099854,-0.4890232,4.574948,-1.344697,8.394882,207.7845,261.8879,79.04205,81.86407,175.2857,294.1746
968.4694,54.10342,32.49876,-3.792925,6.099854,-0.5069559,4.562836,-1.303495,8.448394,207.7845,261.8879,79.01917,82.55533,175.2857,294.1746
970.4497,54.10342,32.49876,-3.841922,6.099854,-0.4406872,4.562836,-1.225121,8.513919,207.7845,261.8879,79.51965,83.0313,175.2857,294.2169
973.4468,54.22242,32.43845,-3.933232,5.980859,-0.459788,4.669434,-1.142677,8.466715,207.7845,262.0366,79.60967,83.05629,175.2857,294.3647
972.3765,54.37116,32.36307,-4.030001,5.832117,-0.5143502,4.802681,-1.059216,8.391329,207.7845,262.1854,79.71801,83.14913,175.4365,294.5125
970.8778,54.3419,32.34799,-4.043513,5.915161,-0.5433455,4.82933,-1.235267,8.376251,207.7845,262.1854,79.8996,81.79516,175.3718,294.428
970.2356,54.26815,32.34799,-4.036211,6.056152,-0.565949,4.82933,-1.281739,8.376251,207.8059,262.0366,79.95147,79.91248,175.4365,294.3647
970.7173,54.19661,32.45935,-3.977625,6.0867,-0.5337945,4.724455,-1.259388,8.432049,207.7845,261.9941,79.86908,79.14204,175.4365,294.3647
972.5905,54.12568,32.60151,-3.904854,6.0867,-0.486494,4.590572,-1.275497,8.50328,207.7845,262.0366,79.93927,80.38882,175.2857,294.3647
974.6243,54.15121,32.6489,-3.906345,6.082352,-0.4790654,4.589995,-1.254824,8.527023,207.9131,262.1854,79.57153,80.94975,175.2857,294.5125
