PDSFD_1000_01_NJSB_10LCA00CT301,PDSFD_1000_01_NJSB_10LCA20CP101,PDSFD_1000_01_NJSB_10LCA50CF101_2S,PDSFD_1000_01_NJSB_10LCB10AP001-A,PDSFD_1000_01_NJSB_10LCB10AP001BP-AI7,PDSFD_1000_01_NJSB_10LCB10AP001BP-AI8,PDSFD_1000_01_NJSB_10LCB10CT351,PDSFD_1000_01_NJSB_10LCB10CT353,PDSFD_1000_01_NJSB_10LCB10CT355,PDSFD_1000_01_NJSB_10LCB10CT361,PDSFD_1000_01_NJSB_10LCB10CT363,PDSFD_1000_01_NJSB_10LCB10CT364,PDSFD_1000_01_NJSB_10LCB10CT365,PDSFD_1000_01_XHSB_10PCB20CT301
28.42927,1.868774,1268.252,28.99475,48.25248,36.2587,30.37657,30.25072,31.00728,24.33023,5.842619,49.21645,41.74371,8.63496
28.55538,1.854553,1262.146,28.86429,48.38226,36.18622,30.37657,30.25072,31.00728,24.33023,5.80507,49.21645,41.74371,8.63496
28.68149,1.856812,1253.508,28.8271,48.51203,36.16943,30.25048,30.25072,30.88117,24.33023,5.721628,49.21645,41.74371,8.63496
28.80761,1.864807,1296.883,29.65794,48.64181,36.36398,30.25048,30.12464,30.88117,24.33023,5.629844,49.21645,41.74371,8.63496
28.80761,1.850525,1363.974,30.372,48.77158,36.5097,30.25048,30.12464,30.88117,24.33023,5.50469,49.21645,41.74371,8.63496
28.93373,1.856079,1297.628,29.66263,48.90136,36.28616,30.22527,30.09942,30.75507,24.31764,5.513033,49.21645,41.74371,8.63496
28.93373,1.861023,1339.252,30.38727,49.03114,36.48758,30.12441,29.99857,30.75507,24.20437,5.47966,49.21645,41.74371,8.63496
28.93373,1.855957,1384.302,31.19202,49.16091,36.6394,30.12441,29.99857,30.75507,24.20437,5.529721,49.21645,41.87022,8.63496
28.93373,1.86438,1311.143,29.56238,48.39957,36.39679,30.12441,29.99857,30.75507,24.20437,5.379539,49.34325,41.87022,8.63496
28.93373,1.86377,1378.531,31.16455,48.41248,36.67908,30.12441,29.99857,30.62898,24.20437,5.379539,49.21645,41.87022,8.63496
28.93373,1.874573,1384.861,31.1348,48.42538,36.74469,30.12441,29.99857,30.62898,24.20437,5.35451,49.21645,41.87022,8.63496
28.93373,1.872925,1325.886,30.41611,48.43828,36.55319,30.12441,29.99857,30.62898,24.13515,5.404571,49.34325,41.87022,8.760232
28.93373,1.873779,1342.64,30.40695,48.45119,36.6127,30.12441,29.99857,30.62898,24.07852,5.204337,49.34325,41.89553,8.760232
28.93373,1.877625,1393.052,31.10733,48.46409,36.84082,30.00464,29.8725,30.62898,24.07852,5.379539,49.34325,41.99675,8.760232
28.93373,1.883423,1387.839,31.18303,48.47699,36.85989,30.12441,29.8725,30.62898,24.07852,5.129252,49.21645,41.99675,8.760232
28.93373,1.871765,1400.275,31.1536,48.4899,36.82861,30.12441,29.8725,30.62898,24.07852,5.129252,49.34325,41.99675,8.760232
29.05986,1.891174,1311.515,30.37319,48.5028,36.59439,30.12441,29.8725,30.62898,23.97785,5.12091,49.34325,41.99675,8.760232
29.05986,1.898865,1322.498,30.36346,48.51571,36.69586,29.99833,29.8725,30.62898,23.95268,5.135509,49.47005,41.99675,8.760232
29.05986,1.887817,1368.293,31.14471,48.42166,36.79886,29.99833,29.8725,30.62898,23.95268,5.129252,49.47005,41.99675,8.760232
29.186,1.896423,1358.091,31.18057,49.26624,36.83777,29.99833,29.8725,30.62898,23.95268,5.004116,49.47005,41.99675,8.760232
29.186,1.913757,1348.746,31.18973,49.90845,36.94381,29.99833,29.8725,30.62898,23.95268,5.004116,49.47005,41.99675,8.760232
29.31214,1.904175,1374.995,31.73904,50.06261,36.97128,29.99833,29.8725,30.62898,23.95268,5.004116,49.59686,42.12327,8.760232
29.43828,1.913696,1367.437,31.94504,50.21677,36.98272,29.99833,29.8725,30.62898,23.95268,4.878984,49.59686,42.12327,8.760232
29.43828,1.910767,1433.82,32.7095,50.37092,37.22839,29.99833,29.8725,30.62898,23.95268,4.503618,49.59686,42.12327,8.885508
29.56443,1.916443,1399.195,31.92444,50.52508,37.14066,29.99833,29.8725,30.62898,23.95268,4.628735,49.59686,42.12327,8.885508
29.69058,1.913879,1457.76,32.87201,50.67923,37.397,29.99833,29.8725,30.62898,23.95268,4.503618,49.59686,42.24981,8.885508
29.94291,1.919373,1414.236,32.72552,50.83339,37.23679,29.99833,29.8725,30.62898,23.95268,4.628735,49.59686,42.24981,8.885508
29.94291,1.92749,1452.548,33.4465,50.98754,37.46338,30.02355,29.8725,30.62898,23.95268,4.853959,49.59686,42.24981,8.885508
30.06907,1.91571,1471.275,33.51974,51.1417,37.4855,30.12441,29.8725,30.62898,23.95268,4.878984,49.59686,42.24981,8.885508
30.06907,1.916443,1513.756,34.23843,52.13834,37.69608,30.12441,29.8725,30.62898,23.95268,4.878984,49.59686,42.24981,8.885508
30.06907,1.940247,1563.46,35.77194,52.6254,38.0722,30.12441,29.99857,30.75507,23.92751,4.603712,49.47005,42.24981,8.885508
30.19525,1.948059,1572.284,35.83374,53.11246,38.15384,30.25048,29.99857,30.75507,23.92751,4.778883,49.47005,42.24981,8.885508
30.19525,1.957092,1563.609,35.82058,53.59952,38.18969,30.25048,29.99857,30.75507,23.87717,4.743135,49.59686,42.37634,8.885508
30.32143,1.962585,1599.463,36.59572,54.43836,38.41781,30.37657,30.12464,30.88117,23.95268,4.93738,49.59686,42.37634,8.885508
30.32143,1.965515,1641.46,37.34436,54.47842,38.65661,30.37657,30.12464,30.88117,23.95268,4.991603,49.59686,42.50288,8.885508
30.44761,1.966736,1602.814,36.55957,54.51847,38.48648,30.50265,30.25072,31.00728,23.95268,4.959069,49.60954,42.50288,8.885508
30.5738,1.98053,1593.692,36.57045,54.55853,38.52386,30.60353,30.25072,31.13339,23.95268,4.979092,49.72368,42.50288,8.885508
30.69999,2.006286,1560.035,36.54556,54.59858,38.48343,30.62874,30.3768,31.13339,23.95268,5.004116,49.72368,42.62943,8.885508
30.82619,1.982788,1618.711,37.34894,54.63863,38.69019,30.75484,30.3768,31.2595,23.95268,4.904011,49.8505,42.62943,8.885508
31.0786,1.989136,1574.816,36.55243,54.67869,38.54904,30.75484,30.50289,31.2595,23.95268,4.853959,49.97733,42.65474,8.885508
31.20481,1.976013,1558.695,35.81161,54.71874,38.34991,30.84311,30.50289,31.33518,23.95268,4.753858,49.97733,42.62943,8.885508
31.45726,1.985657,1550.839,36.44714,54.7588,38.37051,30.88094,30.60376,31.38562,23.95268,4.828935,49.97733,42.75598,8.910563
31.58348,2.006042,1572.731,36.69662,54.79885,38.60244,30.88094,30.62898,31.38562,23.95268,4.778883,49.97733,42.75598,8.954412
31.83596,2.001465,1584.645,36.75384,55.03212,38.62534,30.88094,30.62898,31.38562,23.95268,4.878984,49.97733,42.75598,9.010789
31.9622,1.985901,1633.716,37.3661,55.63488,38.78937,31.00705,30.62898,31.51175,23.95268,4.753858,49.97733,42.86988,9.010789
32.08845,1.980774,1694.887,38.85498,56.23765,39.06937,31.00705,30.75507,31.51175,23.95268,4.628735,49.8505,42.85722,9.010789
32.34096,1.99353,1725.975,39.71786,57.09502,39.328,31.13316,30.75507,31.63788,23.95268,4.503618,49.8505,42.88253,9.010789
32.46722,1.996216,1740.235,40.46172,57.04766,39.3959,31.25927,30.88117,31.73879,23.95268,4.503618,49.72368,42.88253,9.010789
32.59349,1.995422,1755.127,40.42968,56.92455,39.48441,31.36017,31.00728,31.76401,23.95268,4.253396,49.72368,42.88253,9.010789
32.59349,1.990295,1760.675,40.47318,56.80143,39.45465,31.38539,31.13339,31.89015,23.95268,4.403527,49.72368,42.88253,9.010789
32.71976,1.985168,1765.143,40.42053,56.67832,39.48135,31.51152,31.13339,32.0163,23.95268,4.278418,49.72368,42.88253,9.010789
32.71976,1.989502,1736.326,40.47241,56.55521,39.37225,31.63765,31.2595,32.14244,24.07852,4.253396,49.72368,42.88253,9.010789
32.71976,1.996826,1724.225,39.72472,56.43209,39.3341,31.76378,31.2595,32.14244,24.07852,4.295099,49.72368,42.88253,9.010789
32.71976,1.987183,1697.009,38.90076,56.30898,39.10904,31.76378,31.38562,32.2686,24.07852,4.253396,49.8505,42.88253,9.010789
32.84604,1.982544,1687.18,38.89275,56.18587,39.0335,31.78901,31.38562,32.2686,24.07852,4.378504,49.8505,42.88253,9.010789
32.84604,1.982056,1694.664,38.91463,56.06276,39.07165,31.88992,31.51175,32.39476,24.07852,4.378504,49.8505,42.88253,9.010789
32.84604,1.990295,1646.747,38.1189,54.88743,38.88168,31.88992,31.51175,32.39476,24.07852,4.478595,49.97733,42.88253,9.010789
32.84604,1.990479,1599.351,37.32427,54.67163,38.61313,31.88992,31.51175,32.39476,24.07852,4.466084,50.10416,42.88253,9.010789
32.84604,2.008423,1590.527,37.34436,54.45583,38.67645,31.88992,31.51175,32.39476,24.07852,4.153313,50.10416,42.88253,8.885508
32.97232,1.98407,1580.438,36.57989,54.24002,38.51624,31.88992,31.51175,32.39476,24.07852,4.228375,50.12952,42.88253,8.885508
32.97232,1.995605,1505.565,35.82001,52.86209,38.21716,31.88992,31.51175,32.39476,24.07852,4.103274,50.23099,42.88253,8.885508
