JT_KFFD_630_01_0100001_1DCSOPC_AI02154,JT_KFFD_630_01_0601212_1DCSOPC_AI01064,JT_KFFD_630_01_0603201_1DCSOPC_AI01116,JT_KFFD_630_01_0603202_1DCSOPC_AI01143,JT_KFFD_630_01_0603203_1DCSOPC_AI01144,JT_KFFD_630_01_0603205_1DCSOPC_AI01131,JT_KFFD_630_01_0603207_1DCSOPC_AI01141,JT_KFFD_630_01_0603209_1DCSOPC_AI01126,JT_KFFD_630_01_0603235_1DCSOPC_AI01129
311.8316,17.54505,338.731,1.260714,1.374626,58.33365,52.57233,55.84344,60.66284
312.6149,17.68069,340.416,1.26503,1.385307,58.34592,52.58588,55.84575,61.08602
310.702,17.80917,340.3549,1.259384,1.374626,58.34457,52.58624,55.83685,60.60486
312.8533,17.89111,339.9124,1.262327,1.385307,58.3063,52.57614,55.83831,60.75222
315.1488,17.81784,341.4263,1.294441,1.389046,58.33701,52.57797,55.84447,61.31701
315.0045,18.02838,341.4514,1.270027,1.389694,58.3226,52.57367,55.82913,61.38567
314.0452,17.6442,341.1636,1.259995,1.39534,58.30096,52.57031,55.82928,61.13892
314.1905,17.39841,341.1942,1.279411,1.394691,58.30948,52.55761,55.81748,60.95755
316.5657,17.40115,341.2566,1.250444,1.385307,58.27792,52.56332,55.81083,60.88423
315.2444,17.52411,341.6367,1.285057,1.400337,58.26346,52.55171,55.80908,61.18546
313.7472,17.5538,341.9124,1.244984,1.390305,58.27927,52.53949,55.81549,61.11668
314.7647,17.68198,343.0176,1.264381,1.400337,58.26044,52.53842,55.79948,61.69475
316.0861,17.80911,343.4189,1.26503,1.409721,58.24707,52.5321,55.79304,61.5976
314.6017,17.73996,343.9178,1.264381,1.409721,58.24097,52.52692,55.79204,61.79308
313.3693,17.61951,344.1429,1.26503,1.405373,58.23993,52.52249,55.78354,61.73172
314.2269,17.61325,341.9334,1.255941,1.389694,58.23575,52.51963,55.76345,61.35773
314.5248,17.5847,344.0061,1.249371,1.418768,58.20804,52.52133,55.76231,61.24834
312.8533,17.36292,342.6056,1.249371,1.389694,58.22064,52.49728,55.76196,61.03973
313.5728,17.29626,342.1097,1.264381,1.400337,58.2045,52.50391,55.75183,61.03973
313.8635,17.28484,339.6792,1.264567,1.41037,58.19788,52.5022,55.75817,60.60421
312.8533,17.37741,340.9119,1.244984,1.394691,58.20474,52.48938,55.75027,60.78796
311.6613,17.41113,339.7609,1.25,1.390555,58.20374,52.49338,55.73871,60.33238
313.5728,17.39264,337.8555,1.249811,1.372833,58.16553,52.49223,55.73656,59.92737
311.9521,17.20026,338.0606,1.247221,1.38031,58.16217,52.49021,55.73442,59.82426
311.9012,16.82889,336.9293,1.23359,1.379662,58.18024,52.49255,55.73023,59.75189
311.4215,16.6969,336.0977,1.234008,1.374626,58.1532,52.48474,55.73636,59.30939
313.3329,16.44681,334.8389,1.234322,1.374626,58.14163,52.4906,55.72891,59.37653
311.2315,16.26572,335.5942,1.214275,1.349602,58.13239,52.48586,55.72131,59.1507
312.141,16.18681,333.9113,1.216425,1.354599,58.16034,52.48269,55.72137,59.13391
311.1817,16.1486,334.9258,1.219292,1.359596,58.14081,52.47637,55.72427,59.03473
311.0114,16.13609,333.8954,1.204891,1.349602,58.14233,52.47253,55.72446,59.05151
311.1817,16.1507,331.5691,1.221534,1.354599,58.13431,52.47571,55.71469,58.8501
309.9898,16.28864,331.8939,1.214905,1.335182,58.12857,52.47772,55.72095,58.92639
310.4113,16.1983,332.2093,1.216367,1.375275,58.13312,52.47062,55.70871,58.90961
309.7842,15.99454,332.1457,1.22598,1.364632,58.11087,52.4754,55.71143,58.8501
310.0583,15.83261,331.8359,1.227318,1.360245,58.10825,52.46772,55.71219,58.83331
309.7988,15.96799,332.0018,1.224488,1.370277,58.10336,52.47031,55.70334,58.75092
311.3634,15.84396,326.4255,1.217413,1.330185,58.08823,52.45718,55.69128,57.62329
311.4215,16.00641,327.8351,1.219828,1.345215,58.09238,52.45988,55.68469,58.10699
310.2296,16.27848,326.8204,1.204891,1.329536,58.10648,52.45956,55.69986,58.09806
310.503,16.37689,326.9501,1.214275,1.330185,58.09052,52.44592,55.6907,57.8476
309.6918,16.3429,327.4498,1.229935,1.329536,58.11768,52.4491,55.67603,58.59985
310.4695,16.35828,327.5757,1.229935,1.345215,58.08121,52.44858,55.69241,58.39996
309.7954,16.28549,328.4563,1.244354,1.350212,58.08286,52.45454,55.67035,58.27593
310.4695,16.51108,329.9179,1.244354,1.345215,58.09,52.4416,55.69455,58.81958
310.702,16.76245,329.3304,1.199875,1.364632,58.08899,52.45169,55.67722,58.36983
311.0858,16.78622,332.452,1.244354,1.375275,58.07022,52.43091,55.68027,59.30528
309.7499,17.05063,331.337,1.234322,1.375275,58.07907,52.42712,55.66556,59.33914
309.7499,17.15406,330.7327,1.231323,1.375275,58.06827,52.435,55.67203,58.96393
309.7499,17.08072,329.6356,1.224937,1.375275,58.0751,52.43539,55.66409,58.37402
309.7499,16.83469,330.1304,1.199875,1.350212,58.06711,52.42682,55.67133,58.61206
311.9012,16.72769,332.3364,1.244354,1.386325,58.0473,52.42999,55.64685,59.37958
314.285,16.69601,335.6211,1.244354,1.397925,58.05038,52.42108,55.65254,59.9323
